Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
Online,C,12669,9656,7561,214,2674,1338
Online,C,7057,9810,9568,1762,3293,1776
Online,C,6353,8808,7684,2405,3516,7844
InStore,C,13265,1196,4221,6404,507,1788
Online,C,22615,5410,7198,3915,1777,5185
Online,C,9413,8259,5126,666,1795,1451
Online,C,12126,3199,6975,480,3140,545
Online,C,7579,4956,9426,1669,3321,2566
InStore,C,5963,3648,6192,425,1716,750
Online,C,6006,11093,18881,1159,7425,2098
Online,C,3366,5403,12974,4400,5977,1744
Online,C,13146,1124,4523,1420,549,497
Online,C,31714,12319,11757,287,3881,2931
Online,C,21217,6208,14982,3095,6707,602
Online,C,24653,9465,12091,294,5058,2168
InStore,C,10253,1114,3821,397,964,412
Online,C,1020,8816,12121,134,4508,1080
InStore,C,5876,6157,2933,839,370,4478
Online,C,18601,6327,10099,2205,2767,3181
InStore,C,7780,2495,9464,669,2518,501
Online,C,17546,4519,4602,1066,2259,2124
InStore,C,5567,871,2010,3383,375,569
InStore,C,31276,1917,4469,9408,2381,4334
Online,C,26373,36423,22019,5154,4337,16523
Online,C,22647,9776,13792,2915,4482,5778
Online,C,16165,4230,7595,201,4003,57
InStore,C,9898,961,2861,3151,242,833
InStore,C,14276,803,3045,485,100,518
Online,C,4113,20484,25957,1158,8604,5206
InStore,C,43088,2100,2609,1200,1107,823
InStore,C,18815,3610,11107,1148,2134,2963
InStore,C,2612,4339,3133,2088,820,985
InStore,C,21632,1318,2886,266,918,405
InStore,C,29729,4786,7326,6130,361,1083
InStore,C,1502,1979,2262,425,483,395
Online,C,688,5491,11091,833,4239,436
InStore,C,29955,4362,5428,1729,862,4626
Online,C,15168,10556,12477,1920,6506,714
Online,C,4591,15729,16709,33,6956,433
InStore,C,56159,555,902,10002,212,2916
InStore,C,24025,4332,4757,9510,1145,5864
InStore,C,19176,3065,5956,2033,2575,2802
Online,C,10850,7555,14961,188,6899,46
Online,C,630,11095,23998,787,9529,72
Online,C,9670,7027,10471,541,4618,65
Online,C,5181,22044,21531,1740,7353,4985
Online,C,3103,14069,21955,1668,6792,1452
Online,C,44466,54259,55571,7782,24171,6465
Online,C,11519,6152,10868,584,5121,1476
Online,C,4967,21412,28921,1798,13583,1163
InStore,C,6269,1095,1980,3860,609,2162
InStore,C,3347,4051,6996,239,1538,301
Online,C,40721,3916,5876,532,2587,1278
Online,C,491,10473,11532,744,5611,224
InStore,C,27329,1449,1947,2436,204,1333
InStore,C,5264,3683,5005,1057,2024,1130
Online,C,4098,29892,26866,2616,17740,1340
Online,C,5417,9933,10487,38,7572,1282
InStore,C,13779,1970,1648,596,227,436
InStore,C,6137,5360,8040,129,3084,1603
Online,C,8590,3045,7854,96,4095,225
Online,C,35942,38369,59598,3254,26701,2017
Online,C,7823,6245,6544,4154,4074,964
Online,C,9396,11601,15775,2896,7677,1295
InStore,C,4760,1227,3250,3724,1247,1145
Online,C,85,20959,45828,36,24231,1423
InStore,C,9,1534,7417,175,3468,27
Online,C,19913,6759,13462,1256,5141,834
InStore,C,2446,7260,3993,5870,788,3095
InStore,C,8352,2820,1293,779,656,144
InStore,C,16705,2037,3202,10643,116,1365
InStore,C,18291,1266,21042,5373,4173,14472
InStore,C,4420,5139,2661,8872,1321,181
Online,C,19899,5332,8713,8132,764,648
Online,C,8190,6343,9794,1285,1901,1780
InStore,C,20398,1137,3,4407,3,975
InStore,C,717,3587,6532,7530,529,894
Online,C,12205,12697,28540,869,12034,1009
InStore,C,10766,1175,2067,2096,301,167
InStore,C,1640,3259,3655,868,1202,1653
InStore,C,7005,829,3009,430,610,529
Online,C,219,9540,14403,283,7818,156
Online,C,10362,9232,11009,737,3537,2342
InStore,C,20874,1563,1783,2320,550,772
Online,C,11867,3327,4814,1178,3837,120
Online,C,16117,46197,92780,1026,40827,2944
Online,C,22925,73498,32114,987,20070,903
InStore,C,43265,5025,8117,6312,1579,14351
InStore,C,7864,542,4042,9735,165,46
InStore,C,24904,3836,5330,3443,454,3178
InStore,C,11405,596,1638,3347,69,360
InStore,C,12754,2762,2530,8693,627,1117
Online,C,9198,27472,32034,3232,18906,5130
InStore,C,11314,3090,2062,35009,71,2698
Online,C,5626,12220,11323,206,5038,244
InStore,C,3,2920,6252,440,223,709
Online,C,23,2616,8118,145,3874,217
InStore,C,403,254,610,774,54,63
InStore,C,503,112,778,895,56,132
InStore,C,9658,2182,1909,5639,215,323
Online,C,11594,7779,12144,3252,8035,3029
Online,C,1420,10810,16267,1593,6766,1838
Online,C,2932,6459,7677,2561,4573,1386
InStore,C,56082,3504,8906,18028,1480,2498
InStore,C,14100,2132,3445,1336,1491,548
InStore,C,15587,1014,3970,910,139,1378
Online,C,1454,6337,10704,133,6830,1831
Online,C,8797,10646,14886,2471,8969,1438
Online,C,1531,8397,6981,247,2505,1236
Online,C,1406,16729,28986,673,836,3
InStore,C,11818,1648,1694,2276,169,1647
Online,C,12579,11114,17569,805,6457,1519
InStore,C,19046,2770,2469,8853,483,2708
InStore,C,14438,2295,1733,3220,585,1561
InStore,C,18044,1080,2000,2555,118,1266
InStore,C,11134,793,2988,2715,276,610
InStore,C,11173,2521,3355,1517,310,222
InStore,C,6990,3880,5380,1647,319,1160
InStore,C,20049,1891,2362,5343,411,933
InStore,C,8258,2344,2147,3896,266,635
InStore,C,17160,1200,3412,2417,174,1136
InStore,C,4020,3234,1498,2395,264,255
InStore,C,12212,201,245,1991,25,860
Online,C,11170,10769,8814,2194,1976,143
InStore,C,36050,1642,2961,4787,500,1621
InStore,C,76237,3473,7102,16538,778,918
InStore,C,19219,1840,1658,8195,349,483
Online,C,21465,7243,10685,880,2386,2749
InStore,C,140,8847,3823,142,1062,3
InStore,C,42312,926,1510,1718,410,1819
InStore,C,7149,2428,699,6316,395,911
InStore,C,2101,589,314,346,70,310
InStore,C,14903,2032,2479,576,955,328
InStore,C,9434,1042,1235,436,256,396
InStore,C,7388,1882,2174,720,47,537
InStore,C,6300,1289,2591,1170,199,326
InStore,C,4625,8579,7030,4575,2447,1542
InStore,C,3087,8080,8282,661,721,36
InStore,C,13537,4257,5034,155,249,3271
InStore,C,5387,4979,3343,825,637,929
InStore,C,17623,4280,7305,2279,960,2616
InStore,C,30379,13252,5189,321,51,1450
InStore,C,37036,7152,8253,2995,20,3
InStore,C,10405,1596,1096,8425,399,318
InStore,C,18827,3677,1988,118,516,201
Online,C,22039,8384,34792,42,12591,4430
InStore,C,7769,1936,2177,926,73,520
InStore,C,9203,3373,2707,1286,1082,526
InStore,C,5924,584,542,4052,283,434
InStore,C,31812,1433,1651,800,113,1440
InStore,C,16225,1825,1765,853,170,1067
InStore,C,1289,3328,2022,531,255,1774
InStore,C,18840,1371,3135,3001,352,184
InStore,C,3463,9250,2368,779,302,1627
InStore,C,622,55,137,75,7,8
Online,C,1989,10690,19460,233,11577,2153
Online,C,3830,5291,14855,317,6694,3182
InStore,C,17773,1366,2474,3378,811,418
Online,C,2861,6570,9618,930,4004,1682
Online,C,355,7704,14682,398,8077,303
Online,C,1725,3651,12822,824,4424,2157
